,time_tracking_id,phase_num,xy_pos_idx,cross_phase_tracking_id,area,bb_height,bb_width,bb_x_left,bb_y_top,cX,cY,perimeter,main_image_name,timepoint,time_in_seconds
35,phase_1_xy4_col5,1,4,phase_1_xy4_col5,200.0,18.0,24.0,294.0,545.0,302.945,553.825,78.76955199241638,t06xy4,6.0,21600.0
36,phase_1_xy4_col0,1,4,phase_1_xy4_col0,647.0,27.0,46.0,202.0,63.0,224.35548686244204,77.55950540958268,205.9655101299286,t07xy4,7.0,25200.0
37,phase_1_xy4_col17,1,4,phase_1_xy4_col17,645.0,41.0,38.0,43.0,136.0,59.607751937984496,155.02945736434108,206.99494767189026,t07xy4,7.0,25200.0
38,phase_1_xy4_col38,1,4,phase_1_xy4_col38,343.0,25.0,27.0,200.0,261.0,211.92419825072886,274.4256559766764,101.74011445045471,t07xy4,7.0,25200.0
39,phase_1_xy4_col39,1,4,phase_1_xy4_col39,392.0,37.0,19.0,147.0,370.0,156.02295918367346,388.4770408163265,117.29646337032318,t07xy4,7.0,25200.0
40,phase_1_xy4_col20,1,4,phase_1_xy4_col20,647.0,41.0,33.0,356.0,379.0,372.693972179289,399.35857805255023,169.4385987520218,t07xy4,7.0,25200.0
41,phase_1_xy4_col5,1,4,phase_1_xy4_col5,464.0,23.0,34.0,284.0,542.0,300.6508620689655,553.4418103448276,103.9827550649643,t07xy4,7.0,25200.0
42,phase_1_xy4_col42,1,4,phase_1_xy4_col42,122.0,14.0,12.0,225.0,61.0,230.5737704918033,66.78688524590164,43.79898953437805,t08xy4,8.0,28800.0
43,phase_1_xy4_col0,1,4,phase_1_xy4_col0,847.0,46.0,51.0,199.0,66.0,225.49940968122786,88.20306965761512,239.86500489711761,t08xy4,8.0,28800.0
44,phase_1_xy4_col17,1,4,phase_1_xy4_col17,816.0,45.0,50.0,35.0,133.0,59.91299019607843,153.38725490196077,232.20815074443817,t08xy4,8.0,28800.0
45,phase_1_xy4_col38,1,4,phase_1_xy4_col38,811.0,39.0,39.0,190.0,260.0,209.45622688039458,275.4932182490752,175.82337474822998,t08xy4,8.0,28800.0
46,phase_1_xy4_col39,1,4,phase_1_xy4_col39,728.0,43.0,33.0,139.0,365.0,155.96153846153845,388.19505494505495,197.82337474822998,t08xy4,8.0,28800.0
47,phase_1_xy4_col20,1,4,phase_1_xy4_col20,808.0,45.0,42.0,349.0,373.0,369.38613861386136,395.72153465346537,221.0365778207779,t08xy4,8.0,28800.0
48,phase_1_xy4_col5,1,4,phase_1_xy4_col5,612.0,39.0,34.0,284.0,533.0,299.45588235294116,550.4101307189543,151.78174459934235,t08xy4,8.0,28800.0
49,,1,4,,1305.0,48.0,64.0,184.0,56.0,220.5655172413793,80.87203065134099,294.04877042770386,t09xy4,9.0,32400.0
50,phase_1_xy4_col17,1,4,phase_1_xy4_col17,1391.0,53.0,60.0,32.0,127.0,59.80086268871315,154.9367361610352,296.14927566051483,t09xy4,9.0,32400.0
